elbo_loss_epoch,train_loss,train_elbo_loss,epoch,step,elbo_loss_step
0.6529202461242676,0.6505019068717957,0.6505019068717957,0,39,
,,,1,49,0.5391244888305664
0.4864523410797119,0.48491764068603516,0.48491764068603516,1,79,
,,,2,99,0.3801904320716858
0.3746214210987091,0.3720584809780121,0.3720584809780121,2,119,
,,,3,149,0.2910512685775757
0.3183462619781494,0.3173803985118866,0.3173803985118866,3,159,
,,,4,199,0.23781214654445648
0.2701416313648224,0.26938390731811523,0.26938390731811523,4,199,
0.24424797296524048,0.24403570592403412,0.24403570592403412,5,239,
,,,6,249,0.22100242972373962
0.2309880405664444,0.22928045690059662,0.22928045690059662,6,279,
,,,7,299,0.20736390352249146
0.2190656065940857,0.21816013753414154,0.21816013753414154,7,319,
,,,8,349,0.2239886075258255
0.20801067352294922,0.20709626376628876,0.20709626376628876,8,359,
,,,9,399,0.2529037594795227
0.1961030215024948,0.19743429124355316,0.19743429124355316,9,399,
0.19335030019283295,0.1938537061214447,0.1938537061214447,10,439,
,,,11,449,0.19060492515563965
0.19316354393959045,0.19205278158187866,0.19205278158187866,11,479,
,,,12,499,0.17987318336963654
0.18792252242565155,0.18965138494968414,0.18965138494968414,12,519,
,,,13,549,0.1907990425825119
0.18173104524612427,0.18324165046215057,0.18324165046215057,13,559,
,,,14,599,0.1514335721731186
0.1757170408964157,0.1751478910446167,0.1751478910446167,14,599,
0.1722434163093567,0.17167668044567108,0.17167668044567108,15,639,
,,,16,649,0.2142130583524704
0.17001938819885254,0.17087684571743011,0.17087684571743011,16,679,
,,,17,699,0.16403080523014069
0.16513560712337494,0.16379550099372864,0.16379550099372864,17,719,
,,,18,749,0.15884561836719513
0.1597408801317215,0.15961402654647827,0.15961402654647827,18,759,
,,,19,799,0.15250925719738007
0.1597968339920044,0.1596260368824005,0.1596260368824005,19,799,
0.1580798327922821,0.15698204934597015,0.15698204934597015,20,839,
,,,21,849,0.18300758302211761
0.15655659139156342,0.15609575808048248,0.15609575808048248,21,879,
