elbo_loss_epoch,train_loss,train_elbo_loss,epoch,step,elbo_loss_step
0.6086716055870056,0.6064502596855164,0.6064502596855164,0,39,
,,,1,49,0.5029874444007874
0.4854404926300049,0.4884396493434906,0.4884396493434906,1,79,
,,,2,99,0.430570125579834
0.4140983521938324,0.4134770333766937,0.4134770333766937,2,119,
,,,3,149,0.3130412697792053
0.32245221734046936,0.32174792885780334,0.32174792885780334,3,159,
,,,4,199,0.2122505009174347
0.28233790397644043,0.28069525957107544,0.28069525957107544,4,199,
0.24463191628456116,0.24295532703399658,0.24295532703399658,5,239,
,,,6,249,0.20593470335006714
0.23058848083019257,0.22867019474506378,0.22867019474506378,6,279,
,,,7,299,0.19151395559310913
0.22785058617591858,0.22805221378803253,0.22805221378803253,7,319,
,,,8,349,0.19647830724716187
0.21724365651607513,0.22059643268585205,0.22059643268585205,8,359,
,,,9,399,0.13570107519626617
0.21118195354938507,0.20941288769245148,0.20941288769245148,9,399,
0.20964175462722778,0.21090538799762726,0.21090538799762726,10,439,
,,,11,449,0.19710107147693634
0.2029818594455719,0.20316961407661438,0.20316961407661438,11,479,
,,,12,499,0.200664222240448
0.19963201880455017,0.2003866732120514,0.2003866732120514,12,519,
,,,13,549,0.1749192625284195
0.19557639956474304,0.19644184410572052,0.19644184410572052,13,559,
,,,14,599,0.26700931787490845
0.19258205592632294,0.19432644546031952,0.19432644546031952,14,599,
0.1935608983039856,0.19377899169921875,0.19377899169921875,15,639,
,,,16,649,0.2045404016971588
0.18651799857616425,0.18614815175533295,0.18614815175533295,16,679,
,,,17,699,0.18042826652526855
0.1851639300584793,0.18493381142616272,0.18493381142616272,17,719,
,,,18,749,0.19534315168857574
0.18393170833587646,0.18398581445217133,0.18398581445217133,18,759,
,,,19,799,0.1095588207244873
0.17981263995170593,0.17816606163978577,0.17816606163978577,19,799,
0.17777031660079956,0.17848877608776093,0.17848877608776093,20,839,
,,,21,849,0.15847428143024445
0.17812366783618927,0.18195152282714844,0.18195152282714844,21,879,
,,,22,899,0.18118871748447418
0.17414508759975433,0.17247459292411804,0.17247459292411804,22,919,
,,,23,949,0.1973770260810852
0.1735459417104721,0.1726122945547104,0.1726122945547104,23,959,
,,,24,999,0.14550136029720306
0.1719098687171936,0.17129091918468475,0.17129091918468475,24,999,
0.1671057492494583,0.16548602283000946,0.16548602283000946,25,1039,
,,,26,1049,0.17319054901599884
0.1654251217842102,0.1631862372159958,0.1631862372159958,26,1079,
,,,27,1099,0.17288585007190704
0.16137012839317322,0.16112716495990753,0.16112716495990753,27,1119,
,,,28,1149,0.15720099210739136
0.17012488842010498,0.16802507638931274,0.16802507638931274,28,1159,
,,,29,1199,0.1792643964290619
0.163272425532341,0.16364723443984985,0.16364723443984985,29,1199,
0.16513606905937195,0.16434061527252197,0.16434061527252197,30,1239,
,,,31,1249,0.14831557869911194
0.15903340280056,0.1585026979446411,0.1585026979446411,31,1279,
,,,32,1299,0.11271794885396957
0.15932601690292358,0.15852198004722595,0.15852198004722595,32,1319,
,,,33,1349,0.1640159636735916
0.16063420474529266,0.15871888399124146,0.15871888399124146,33,1359,
,,,34,1399,0.13386516273021698
0.15771055221557617,0.15715168416500092,0.15715168416500092,34,1399,
0.15482042729854584,0.15282456576824188,0.15282456576824188,35,1439,
,,,36,1449,0.15106554329395294
0.15790458023548126,0.15980200469493866,0.15980200469493866,36,1479,
,,,37,1499,0.14610980451107025
0.15567182004451752,0.1542154997587204,0.1542154997587204,37,1519,
,,,38,1549,0.15665839612483978
0.15419894456863403,0.15335975587368011,0.15335975587368011,38,1559,
,,,39,1599,0.2609412670135498
0.15372712910175323,0.15623997151851654,0.15623997151851654,39,1599,
0.15361930429935455,0.15394644439220428,0.15394644439220428,40,1639,
,,,41,1649,0.129591703414917
0.15632787346839905,0.15717247128486633,0.15717247128486633,41,1679,
,,,42,1699,0.15344633162021637
0.15427041053771973,0.1578391045331955,0.1578391045331955,42,1719,
,,,43,1749,0.13719549775123596
0.15018601715564728,0.14874713122844696,0.14874713122844696,43,1759,
,,,44,1799,0.25560224056243896
0.15113331377506256,0.15358181297779083,0.15358181297779083,44,1799,
0.15188269317150116,0.14990966022014618,0.14990966022014618,45,1839,
,,,46,1849,0.14281944930553436
0.15515050292015076,0.15342207252979279,0.15342207252979279,46,1879,
,,,47,1899,0.1563500612974167
0.15509313344955444,0.1553969532251358,0.1553969532251358,47,1919,
,,,48,1949,0.14583292603492737
0.1524256318807602,0.15198951959609985,0.15198951959609985,48,1959,
,,,49,1999,0.17348918318748474
0.14572669565677643,0.14637736976146698,0.14637736976146698,49,1999,
0.15161436796188354,0.15080158412456512,0.15080158412456512,50,2039,
,,,51,2049,0.13081535696983337
0.14474813640117645,0.1444648802280426,0.1444648802280426,51,2079,
,,,52,2099,0.1582242101430893
0.1522209793329239,0.15663374960422516,0.15663374960422516,52,2119,
,,,53,2149,0.16250963509082794
0.1515505611896515,0.15251581370830536,0.15251581370830536,53,2159,
,,,54,2199,0.06064724549651146
0.15005694329738617,0.14796140789985657,0.14796140789985657,54,2199,
0.14704635739326477,0.14776109158992767,0.14776109158992767,55,2239,
,,,56,2249,0.1218404695391655
0.14953173696994781,0.1479300707578659,0.1479300707578659,56,2279,
,,,57,2299,0.14882463216781616
0.14437222480773926,0.14410075545310974,0.14410075545310974,57,2319,
,,,58,2349,0.17033129930496216
0.1489952951669693,0.15006554126739502,0.15006554126739502,58,2359,
,,,59,2399,0.14511913061141968
0.14092427492141724,0.14102260768413544,0.14102260768413544,59,2399,
0.14338737726211548,0.14154808223247528,0.14154808223247528,60,2439,
,,,61,2449,0.1447231024503708
