elbo_loss_step,epoch,step,elbo_loss_epoch,train_loss,train_elbo_loss
0.19641031324863434,0,49,,,
,0,78,0.2538950443267822,0.2528000771999359,0.2528000771999359
0.15891402959823608,1,99,,,
0.1510179340839386,1,149,,,
,1,157,0.1589585691690445,0.1588333696126938,0.1588333696126938
0.14089272916316986,2,199,,,
,2,236,0.15081550180912018,0.15079595148563385,0.15079595148563385
0.15152683854103088,3,249,,,
0.1313149780035019,3,299,,,
,3,315,0.1431596726179123,0.14326347410678864,0.14326347410678864
0.13508325815200806,4,349,,,
,4,394,0.13838151097297668,0.13807550072669983,0.13807550072669983
0.1223413497209549,5,399,,,
0.10977555811405182,5,449,,,
,5,473,0.13060641288757324,0.13064929842948914,0.13064929842948914
0.1294037103652954,6,499,,,
0.12072649598121643,6,549,,,
,6,552,0.12626266479492188,0.1263170838356018,0.1263170838356018
0.12647950649261475,7,599,,,
,7,631,0.12631186842918396,0.12626151740550995,0.12626151740550995
0.10735292732715607,8,649,,,
0.11380712687969208,8,699,,,
,8,710,0.12089267373085022,0.1207842081785202,0.1207842081785202
0.12692192196846008,9,749,,,
,9,789,0.11900627613067627,0.11896806210279465,0.11896806210279465
0.12551921606063843,10,799,,,
0.11293696612119675,10,849,,,
,10,868,0.11647544801235199,0.11660733073949814,0.11660733073949814
0.10804199427366257,11,899,,,
,11,947,0.11500591784715652,0.1150154322385788,0.1150154322385788
0.11310598999261856,12,949,,,
0.11487638205289841,12,999,,,
,12,1026,0.11341974139213562,0.11325200647115707,0.11325200647115707
0.10677074640989304,13,1049,,,
0.13002662360668182,13,1099,,,
,13,1105,0.11184272170066833,0.11197969317436218,0.11197969317436218
0.1166488528251648,14,1149,,,
,14,1184,0.11101233214139938,0.11102259904146194,0.11102259904146194
0.10826606303453445,15,1199,,,
0.11829505115747452,15,1249,,,
,15,1263,0.11035360395908356,0.11024005711078644,0.11024005711078644
0.10354458540678024,16,1299,,,
,16,1342,0.11022157967090607,0.11009813845157623,0.11009813845157623
0.1076558530330658,17,1349,,,
0.10656653344631195,17,1399,,,
,17,1421,0.10621285438537598,0.10631068050861359,0.10631068050861359
0.10364790260791779,18,1449,,,
0.12258265167474747,18,1499,,,
,18,1500,0.10874692350625992,0.10896966606378555,0.10896966606378555
0.1066415011882782,19,1549,,,
,19,1579,0.10704223811626434,0.10711434483528137,0.10711434483528137
0.10563607513904572,20,1599,,,
0.10533063113689423,20,1649,,,
,20,1658,0.10738151520490646,0.10728167742490768,0.10728167742490768
0.10559624433517456,21,1699,,,
,21,1737,0.10721108317375183,0.1072612851858139,0.1072612851858139
0.1028432548046112,22,1749,,,
0.10381221771240234,22,1799,,,
,22,1816,0.10439407080411911,0.10433424264192581,0.10433424264192581
0.105385422706604,23,1849,,,
,23,1895,0.10558537393808365,0.10567700117826462,0.10567700117826462
0.10234773904085159,24,1899,,,
0.10202950239181519,24,1949,,,
,24,1974,0.10271225869655609,0.10257849097251892,0.10257849097251892
0.10057801008224487,25,1999,,,
0.11787904798984528,25,2049,,,
,25,2053,0.10310527682304382,0.10319358855485916,0.10319358855485916
0.10092265903949738,26,2099,,,
,26,2132,0.10245823115110397,0.102565236389637,0.102565236389637
0.09932401031255722,27,2149,,,
0.10405542701482773,27,2199,,,
,27,2211,0.10205265134572983,0.1020514965057373,0.1020514965057373
0.1031528189778328,28,2249,,,
,28,2290,0.10139446705579758,0.10143822431564331,0.10143822431564331
0.10145505517721176,29,2299,,,
0.09958808124065399,29,2349,,,
,29,2369,0.1021556481719017,0.10247862339019775,0.10247862339019775
0.11656489968299866,30,2399,,,
,30,2448,0.10217034816741943,0.10200430452823639,0.10200430452823639
0.11726965755224228,31,2449,,,
0.10021062940359116,31,2499,,,
,31,2527,0.10157622396945953,0.10149791836738586,0.10149791836738586
0.09303808957338333,32,2549,,,
0.10107804089784622,32,2599,,,
,32,2606,0.09941667318344116,0.0992932990193367,0.0992932990193367
0.09928777068853378,33,2649,,,
,33,2685,0.09958413243293762,0.09944543242454529,0.09944543242454529
0.0925334170460701,34,2699,,,
0.09818227589130402,34,2749,,,
,34,2764,0.10036502778530121,0.10039355605840683,0.10039355605840683
0.09728243947029114,35,2799,,,
,35,2843,0.09972933679819107,0.09975417703390121,0.09975417703390121
0.10647623986005783,36,2849,,,
0.09697333723306656,36,2899,,,
,36,2922,0.09948045015335083,0.0994662269949913,0.0994662269949913
0.09902980178594589,37,2949,,,
0.10021472722291946,37,2999,,,
,37,3001,0.0984073355793953,0.09851063787937164,0.09851063787937164
0.09950460493564606,38,3049,,,
,38,3080,0.09843505918979645,0.09863247722387314,0.09863247722387314
0.09172715246677399,39,3099,,,
0.10485799610614777,39,3149,,,
,39,3159,0.09832900762557983,0.098180390894413,0.098180390894413
0.09604567289352417,40,3199,,,
,40,3238,0.09735098481178284,0.09725089371204376,0.09725089371204376
0.10254301130771637,41,3249,,,
0.10416461527347565,41,3299,,,
,41,3317,0.09738066047430038,0.09727807343006134,0.09727807343006134
0.09404831379652023,42,3349,,,
,42,3396,0.09982437640428543,0.09980782866477966,0.09980782866477966
0.10106150060892105,43,3399,,,
0.09545617550611496,43,3449,,,
,43,3475,0.09776243567466736,0.09748157113790512,0.09748157113790512
0.09780954569578171,44,3499,,,
0.1011667475104332,44,3549,,,
,44,3554,0.09834384173154831,0.09820771217346191,0.09820771217346191
0.09351155161857605,45,3599,,,
,45,3633,0.09801647067070007,0.09807275980710983,0.09807275980710983
0.0972016230225563,46,3649,,,
0.09701145440340042,46,3699,,,
,46,3712,0.0979163721203804,0.09796474128961563,0.09796474128961563
0.09727031737565994,47,3749,,,
,47,3791,0.09722209721803665,0.09726670384407043,0.09726670384407043
0.10349379479885101,48,3799,,,
0.09630099684000015,48,3849,,,
,48,3870,0.0959896370768547,0.09592889249324799,0.09592889249324799
0.09824031591415405,49,3899,,,
0.0958850085735321,49,3949,,,
,49,3949,0.09635552018880844,0.09635031223297119,0.09635031223297119
0.09276439249515533,50,3999,,,
,50,4028,0.09647014737129211,0.0963016152381897,0.0963016152381897
0.0979490727186203,51,4049,,,
0.1042480543255806,51,4099,,,
,51,4107,0.09641765058040619,0.09642410278320312,0.09642410278320312
0.09106077253818512,52,4149,,,
,52,4186,0.09605638682842255,0.0960916206240654,0.0960916206240654
0.09524665027856827,53,4199,,,
0.1010068953037262,53,4249,,,
,53,4265,0.09668080508708954,0.09685356914997101,0.09685356914997101
0.09306255728006363,54,4299,,,
,54,4344,0.09473741799592972,0.09471167623996735,0.09471167623996735
0.1046164408326149,55,4349,,,
0.09093150496482849,55,4399,,,
,55,4423,0.0960083082318306,0.09618248790502548,0.09618248790502548
0.10192027688026428,56,4449,,,
0.09418465942144394,56,4499,,,
,56,4502,0.09685108810663223,0.09705463796854019,0.09705463796854019
0.09837470203638077,57,4549,,,
,57,4581,0.09571970999240875,0.09551309049129486,0.09551309049129486
0.09279432147741318,58,4599,,,
0.09652890264987946,58,4649,,,
,58,4660,0.09588155150413513,0.09580813348293304,0.09580813348293304
0.09551691263914108,59,4699,,,
,59,4739,0.09469655901193619,0.09472934156656265,0.09472934156656265
0.09392084181308746,60,4749,,,
0.09377364069223404,60,4799,,,
,60,4818,0.09524158388376236,0.09518182277679443,0.09518182277679443
0.09118753671646118,61,4849,,,
,61,4897,0.09488022327423096,0.09489806741476059,0.09489806741476059
0.09895464777946472,62,4899,,,
0.09148027747869492,62,4949,,,
,62,4976,0.09442203491926193,0.09443847090005875,0.09443847090005875
0.09205539524555206,63,4999,,,
0.09727472066879272,63,5049,,,
,63,5055,0.094920314848423,0.09483165293931961,0.09483165293931961
0.0944194421172142,64,5099,,,
,64,5134,0.09529813379049301,0.0953313559293747,0.0953313559293747
0.10180283337831497,65,5149,,,
0.0914870873093605,65,5199,,,
,65,5213,0.09516388922929764,0.09516515582799911,0.09516515582799911
0.0969008132815361,66,5249,,,
