elbo_loss_step,epoch,step,elbo_loss_epoch,train_loss,train_elbo_loss
0.5602453947067261,0,49,,,
0.4384708106517792,0,99,,,
0.40185534954071045,0,149,,,
,0,156,0.5187418460845947,0.5183019638061523,0.5183019638061523
0.34842240810394287,1,199,,,
0.36365559697151184,1,249,,,
0.3345295786857605,1,299,,,
,1,313,0.3469458520412445,0.34664031863212585,0.34664031863212585
0.3654363751411438,2,349,,,
0.34089547395706177,2,399,,,
0.3459792137145996,2,449,,,
,2,470,0.33098387718200684,0.33083635568618774,0.33083635568618774
0.29471468925476074,3,499,,,
0.32874658703804016,3,549,,,
0.2883809804916382,3,599,,,
,3,627,0.3216829299926758,0.3217381238937378,0.3217381238937378
0.3091619610786438,4,649,,,
0.3474839925765991,4,699,,,
0.33570045232772827,4,749,,,
,4,784,0.31073567271232605,0.31129804253578186,0.31129804253578186
0.2870337963104248,5,799,,,
0.3225207030773163,5,849,,,
0.318675696849823,5,899,,,
,5,941,0.31155693531036377,0.311513751745224,0.311513751745224
0.32307231426239014,6,949,,,
0.28265970945358276,6,999,,,
0.29468828439712524,6,1049,,,
,6,1098,0.30238306522369385,0.30225709080696106,0.30225709080696106
0.2844506800174713,7,1099,,,
0.2817649841308594,7,1149,,,
0.30048155784606934,7,1199,,,
0.27508121728897095,7,1249,,,
,7,1255,0.2962965965270996,0.29628095030784607,0.29628095030784607
0.3182409405708313,8,1299,,,
0.2696453928947449,8,1349,,,
0.2724204659461975,8,1399,,,
,8,1412,0.29164227843284607,0.2914624810218811,0.2914624810218811
0.23638597130775452,9,1449,,,
0.2720327377319336,9,1499,,,
0.26596590876579285,9,1549,,,
,9,1569,0.2895134389400482,0.289847731590271,0.289847731590271
0.2590295672416687,10,1599,,,
0.29936495423316956,10,1649,,,
0.266063928604126,10,1699,,,
,10,1726,0.28462710976600647,0.2851545214653015,0.2851545214653015
0.2785940170288086,11,1749,,,
0.27603697776794434,11,1799,,,
0.3408413231372833,11,1849,,,
,11,1883,0.28148481249809265,0.2813623249530792,0.2813623249530792
0.2660030126571655,12,1899,,,
0.2944566011428833,12,1949,,,
0.3058219254016876,12,1999,,,
,12,2040,0.27778828144073486,0.2775217294692993,0.2775217294692993
0.2600315511226654,13,2049,,,
0.292192667722702,13,2099,,,
0.2521066963672638,13,2149,,,
,13,2197,0.27556324005126953,0.27554842829704285,0.27554842829704285
0.27167487144470215,14,2199,,,
0.2488304227590561,14,2249,,,
0.2589861750602722,14,2299,,,
0.2742580473423004,14,2349,,,
,14,2354,0.2734124958515167,0.2732914984226227,0.2732914984226227
0.2590709328651428,15,2399,,,
0.2845778465270996,15,2449,,,
0.27499887347221375,15,2499,,,
,15,2511,0.27158018946647644,0.2717536985874176,0.2717536985874176
0.30855241417884827,16,2549,,,
0.2561284601688385,16,2599,,,
0.23719775676727295,16,2649,,,
,16,2668,0.27097731828689575,0.2711661458015442,0.2711661458015442
0.28439974784851074,17,2699,,,
0.2646128535270691,17,2749,,,
0.25434747338294983,17,2799,,,
,17,2825,0.26967793703079224,0.2695264518260956,0.2695264518260956
0.2826234996318817,18,2849,,,
0.28752192854881287,18,2899,,,
0.26326411962509155,18,2949,,,
,18,2982,0.2687382698059082,0.2686706483364105,0.2686706483364105
0.2855200469493866,19,2999,,,
0.2867710590362549,19,3049,,,
0.24251128733158112,19,3099,,,
,19,3139,0.26341885328292847,0.26320788264274597,0.26320788264274597
0.2808687090873718,20,3149,,,
0.29635506868362427,20,3199,,,
0.25917553901672363,20,3249,,,
,20,3296,0.2633237838745117,0.26278719305992126,0.26278719305992126
0.2662675380706787,21,3299,,,
0.2628086507320404,21,3349,,,
0.25372016429901123,21,3399,,,
0.2365719974040985,21,3449,,,
,21,3453,0.26478615403175354,0.2645265460014343,0.2645265460014343
0.26171228289604187,22,3499,,,
0.27942243218421936,22,3549,,,
0.23575545847415924,22,3599,,,
,22,3610,0.2576316297054291,0.2573312819004059,0.2573312819004059
0.2732500731945038,23,3649,,,
0.2973240613937378,23,3699,,,
0.27844226360321045,23,3749,,,
,23,3767,0.2577230632305145,0.25809183716773987,0.25809183716773987
0.22719132900238037,24,3799,,,
0.23674266040325165,24,3849,,,
0.2617412805557251,24,3899,,,
,24,3924,0.25771433115005493,0.2579437494277954,0.2579437494277954
